Color name,Red,Green,Blue,RGB
Red,191,27,75,#bf1b4b
Pink,245,220,208,#f5dcd0
Reddish orange,216,119,51,#d87733
Orange pink,240,204,162,#f0cca2
Orange,228,184,29,#e4b81d
Yellowish orange,231,224,0,#e7e000
Yellow,234,231,94,#eae75e
Greenish yellow,235,233,0,#ebe900
Yellow green,185,214,4,#b9d604
Yellowish green,170,209,60,#aad13c
Green,0,163,71,#00a347
Bluish green,24,162,121,#18a279
Bluegreen,95,164,190,#5fa4be
Greenish blue,110,175,199,#6eafc7
Blue,92,138,202,#5c8aca
Purplish blue,88,121,191,#5879bf
Bluish purple,92,102,177,#5c66b1
Purple,246,85,158,#f6559e
Reddish purple,196,64,143,#c4408f
Purplish pink,243,208,219,#f3d0db
Red purple,175,35,132,#af2384
Purplish red,209,65,136,#d14188
White,255,255,255,#ffffff
